parameter_type,parameter_type_text_short,parameter_type_text_long,parameter_category
1797,CIE_Y_94,CIE_Y_94,3
1798,CIE_X_95,CIE_X_95,3
1799,CIE_Y_95,CIE_Y_95,3
1800,CIE_X_96,CIE_X_96,3
1801,CIE_Y_96,CIE_Y_96,3
1802,CIE_Y_51,CIE_Y_51,3
1803,Decay,Decay,5
1804,Blur,Blur,5
1805,Spin,Spin,5
1806,Texture,Texture,4
1807,Field_Of_View,Field_Of_View,5
1809,Audio_Volume,Audio_Volume,5
1810,Group_Size,Group_Size,5
1811,Group_Size_2,Group_Size_2,5
1812,Fixture_ID_2,Fixture_ID_2,7
1813,Pixel_Mask_Crossfade_Time_3,Pixel_Mask_Crossfade_Time_3,4
1814,Group_Size_3,Group_Size_3,5
1815,Fixture_ID_3,Fixture_ID_3,7
1816,Pixel_Mask_Crossfade_Time_4,Pixel_Mask_Crossfade_Time_4,4
1817,Group_Size_4,Group_Size_4,5
1818,Fixture_ID_4,Fixture_ID_4,7
1819,Strobe_Start_2,Strobe_Start_2,5
1820,Color_Mix_Macro_Rate_Minimum,Color_Mix_Macro_Rate_Minimum,3
1821,Color_Mix_Macro_Rate_Maximum,Color_Mix_Macro_Rate_Maximum,3
1822,TouchEngine_Preload,TouchEngine_Preload,4
1823,Color_Mix_Macro_Direction_2,Color_Mix_Macro_Direction_2,3
1824,Color_Mix_Macro_Direction_3,Color_Mix_Macro_Direction_3,3
1825,Color_Mix_Macro_Rate_Maximum_2,Color_Mix_Macro_Rate_Maximum_2,3
1826,Color_Mix_Macro_P13,Color_Mix_Macro_P13,3
1827,Color_Mix_Macro_P15,Color_Mix_Macro_P15,3
1828,Color_Mix_Macro_P16,Color_Mix_Macro_P16,3
1829,Color_Mix_Macro_P17,Color_Mix_Macro_P17,3
1830,Color_Mix_Macro_P18,Color_Mix_Macro_P18,3
1831,Color_Mix_Macro_P19,Color_Mix_Macro_P19,3
1832,Color_Mix_Macro_P20,Color_Mix_Macro_P20,3
1833,Color_Mix_Macro_P21,Color_Mix_Macro_P21,3
1834,Color_Mix_Macro_P22,Color_Mix_Macro_P22,3
1835,Color_Mix_Macro_P23,Color_Mix_Macro_P23,3
1836,Color_Mix_Macro_P24,Color_Mix_Macro_P24,3
1837,Color_Mix_Macro_P25,Color_Mix_Macro_P25,3
1838,Color_Mix_Macro_P26,Color_Mix_Macro_P26,3
1839,Color_Mix_Macro_P27,Color_Mix_Macro_P27,3
1840,Color_Mix_Macro_P28,Color_Mix_Macro_P28,3
1841,Color_Mix_Macro_P29,Color_Mix_Macro_P29,3
1842,Color_Mix_Macro_P30,Color_Mix_Macro_P30,3
1843,Color_Mix_Macro_P31,Color_Mix_Macro_P31,3
1844,Color_Mix_Macro_P32,Color_Mix_Macro_P32,3
1845,Color_Mix_Macro_P33,Color_Mix_Macro_P33,3
1846,Timecode_Offset_Hours_3,Timecode_Offset_Hours_3,4
1847,Timecode_Offset_Minutes_3,Timecode_Offset_Minutes_3,4
1848,Timecode_Offset_Seconds_3,Timecode_Offset_Seconds_3,4
1849,Timecode_Offset_Frames_3,Timecode_Offset_Frames_3,4
1850,X_Scale_Mode,X_Scale_Mode,5
1851,TouchEngine_Float,TouchEngine_Float,4
1852,TouchEngine_Float_2,TouchEngine_Float_2,4
1853,TouchEngine_Float_3,TouchEngine_Float_3,4
1854,TouchEngine_Float_4,TouchEngine_Float_4,4
1855,TouchEngine_Float_5,TouchEngine_Float_5,4
1856,TouchEngine_Float_6,TouchEngine_Float_6,4
1857,TouchEngine_Float_7,TouchEngine_Float_7,4
1858,TouchEngine_Float_8,TouchEngine_Float_8,4
1859,TouchEngine_Float_9,TouchEngine_Float_9,4
1860,TouchEngine_Float_10,TouchEngine_Float_10,4
1861,TouchEngine_Integer,TouchEngine_Integer,4
1862,TouchEngine_Integer_2,TouchEngine_Integer_2,4
1863,TouchEngine_Integer_3,TouchEngine_Integer_3,4
1864,TouchEngine_Integer_4,TouchEngine_Integer_4,4
1865,TouchEngine_Integer_5,TouchEngine_Integer_5,4
1866,TouchEngine_Integer_6,TouchEngine_Integer_6,4
1867,TouchEngine_Integer_7,TouchEngine_Integer_7,4
1868,TouchEngine_Integer_8,TouchEngine_Integer_8,4
1869,TouchEngine_Integer_9,TouchEngine_Integer_9,4
1870,TouchEngine_Integer_10,TouchEngine_Integer_10,4
1871,Blower,Blower,5
1872,TouchEngine_Boolean,TouchEngine_Boolean,4
1873,TouchEngine_Boolean_2,TouchEngine_Boolean_2,4
1874,TouchEngine_Boolean_3,TouchEngine_Boolean_3,4
1875,Position_Optimisation_Mode,Position_Optimisation_Mode,7
1876,TouchEngine_Boolean_4,TouchEngine_Boolean_4,4
1877,TouchEngine_Boolean_5,TouchEngine_Boolean_5,4
1878,TouchEngine_Boolean_6,TouchEngine_Boolean_6,4
1879,TouchEngine_Boolean_7,TouchEngine_Boolean_7,4
1880,TouchEngine_Boolean_8,TouchEngine_Boolean_8,4
1881,TouchEngine_Boolean_9,TouchEngine_Boolean_9,4
1882,TouchEngine_Boolean_10,TouchEngine_Boolean_10,4
1883,Mix_2,Mix_2,4
1884,Timecode_Source_2,Timecode_Source_2,4
1885,Mix_3,Mix_3,4
1886,Mix_4,Mix_4,4
1887,Media_Animation_Mode,Media_Animation_Mode,4
1888,Mix_5,Mix_5,4
1889,Mix_6,Mix_6,4
1890,Media_Edge_4,Media_Edge_4,5
1891,Media_Edge_3,Media_Edge_3,5
1892,Animation_Parameter_2,Animation_Parameter_2,4
1893,Shape_Library,Shape_Library,5
1894,Shape,Shape,5
1895,Transition_Type,Transition_Type,5
1896,Drawing_Mode,Drawing_Mode,5
1897,Mix_7,Mix_7,4
1898,Attack_2,Attack_2,5
1899,Playback_Speed_3,Playback_Speed_3,4
