parameter_type,parameter_type_text_short,parameter_type_text_long,parameter_category
2297,White_Main_21,White_Main_21,3
2298,White_Main_22,White_Main_22,3
2299,White_Main_23,White_Main_23,3
2300,White_Main_24,White_Main_24,3
2301,Beam_Visible,Beam_Visible,1
2302,Fixture_Visible,Fixture_Visible,1
2303,Shadow_Visible,Shadow_Visible,1
2304,Lens_Radius,Lens_Radius,4
2305,Beam_Quality,Beam_Quality,4
2306,Attenuation_Radius,Attenuation_Radius,5
2307,_Follow,_Follow,2
2308,Look_At,Look_At,2
2309,Interpolation_Speed,Interpolation_Speed,2
2310,Distance_Max,Distance_Max,5
2311,Intensity_Max,Intensity_Max,1
2312,Gain,Gain,1
2313,_Offset,_Offset,1
2314,Shadow_Saturation,Shadow_Saturation,1
2315,Shadow_Contrast,Shadow_Contrast,1
2316,Shadow_Gamma,Shadow_Gamma,1
2317,Shadow_Gain,Shadow_Gain,1
2318,Shadow_Offset,Shadow_Offset,1
2319,Midtone_Saturation,Midtone_Saturation,1
2320,Midtone_Contrast,Midtone_Contrast,1
2321,Midtone_Gamma,Midtone_Gamma,1
2322,Midtone_Gain,Midtone_Gain,1
2323,Midtone_Offset,Midtone_Offset,1
2324,Highlight_Saturation,Highlight_Saturation,1
2325,Highlight_Contrast,Highlight_Contrast,1
2326,Highlight_Gamma,Highlight_Gamma,1
2327,Highlight_Gain,Highlight_Gain,1
2328,Highlight_Offset,Highlight_Offset,1
2329,Exposure,Exposure,1
2330,Bloom_Intensity,Bloom_Intensity,1
2331,Bloom_Threshold,Bloom_Threshold,1
2332,Time_of_Day,Time_of_Day,1
2333,Sun/Moon_Angle,Sun/Moon_Angle,5
2334,Sun/Moon_Intensity,Sun/Moon_Intensity,1
2335,Sun/Moon_Scale,Sun/Moon_Scale,5
2336,Moon_Phase,Moon_Phase,5
2337,Cloud_Coverage,Cloud_Coverage,4
2338,Cloud_Speed,Cloud_Speed,4
2339,Cloud_Direction,Cloud_Direction,4
2340,Cloud_Phase,Cloud_Phase,4
2341,Skylight_Intensity,Skylight_Intensity,1
2342,Fog_Intensity,Fog_Intensity,1
2343,Stars_Intensity,Stars_Intensity,1
2344,Fog_Height,Fog_Height,6
2345,Fog_Noise,Fog_Noise,4
2346,Fog_Speed_X,Fog_Speed_X,5
2347,Fog_Speed_Y,Fog_Speed_Y,5
2348,Fog_Distance,Fog_Distance,5
2350,White_Main_9,White_Main_9,3
2351,White_Main_25,White_Main_25,3
2352,Amber_Main_3,Amber_Main_3,3
2423,Puff_Duration,Puff_Duration,5
2424,Puff_Interval,Puff_Interval,5
2439,Fixture_Sleep,Fixture_Sleep,7
2527,PWM_Frequency,PWM_Frequency,5
2671,Beamshaper_Index_MSpeed,Beamshaper_Index_MSpeed,5
2696,Red_Filter,Red_Filter,3
2700,Green_Filter,Green_Filter,3
2704,Blue_Filter,Blue_Filter,3
2742,Trails_Duration,Trails_Duration,5
2743,Image_Movement_Speed,Image_Movement_Speed,5
2828,Color_Effect,Color_Effect,3
2829,Beam_Fx_Wheel_MSpeed_2,Beam_Fx_Wheel_MSpeed_2,4
2830,Beam_Fx_Wheel_MSpeed_3,Beam_Fx_Wheel_MSpeed_3,4
2831,Beam_Fx_Wheel_Mode_3,Beam_Fx_Wheel_Mode_3,4
2832,Beam_Fx_Wheel_Offset_3,Beam_Fx_Wheel_Offset_3,4
2833,Global_MSpeed_2,Global_MSpeed_2,5
2834,Reserved_1,Reserved_1,5
2835,Reserved_2,Reserved_2,5
2836,Reserved_3,Reserved_3,5
2837,Reserved_4,Reserved_4,5
2838,Reserved_5,Reserved_5,5
2839,Reserved_6,Reserved_6,5
2840,Reserved_7,Reserved_7,5
2841,Reserved_8,Reserved_8,5
2842,Reserved_9,Reserved_9,5
2843,Reserved_10,Reserved_10,5
2844,User_1,User_1,5
2845,User_2,User_2,5
2846,User_3,User_3,5
2847,User_4,User_4,5
2848,User_5,User_5,5
2849,User_6,User_6,5
2850,User_7,User_7,5
2851,User_8,User_8,5
2852,User_9,User_9,5
2853,User_10,User_10,5
2854,User_11,User_11,5
2855,User_12,User_12,5
2856,User_13,User_13,5
2857,User_14,User_14,5
2858,User_15,User_15,5
2859,User_16,User_16,5
2860,User_17,User_17,5
2861,User_18,User_18,5
2862,User_19,User_19,5
2863,User_20,User_20,5
2864,Control_1,Control_1,5
2865,Control_2,Control_2,5
2866,Beam_Fx_Index/Speed_3,Beam_Fx_Index/Speed_3,4
2867,Beam_Fx_Mode_3,Beam_Fx_Mode_3,4
2881,Cyan_Saturation,Cyan_Saturation,3
2885,Magenta_Saturation,Magenta_Saturation,3
2909,Color_Macro_Fade_Time,Color_Macro_Fade_Time,3
2939,Timeline_Position,Timeline_Position,5
2940,Assign_Channel_To_Layer,Assign_Channel_To_Layer,5
3017,Intens_21,Intens_21,1
3018,Intens_22,Intens_22,1
3019,Intens_23,Intens_23,1
3020,Intens_24,Intens_24,1
3021,Intens_25,Intens_25,1
3022,Intens_26,Intens_26,1
3023,Intens_27,Intens_27,1
3024,Intens_28,Intens_28,1
3025,Intens_29,Intens_29,1
3026,Intens_30,Intens_30,1
3027,Intens_31,Intens_31,1
3028,Intens_32,Intens_32,1
3029,Intens_33,Intens_33,1
3030,Intens_34,Intens_34,1
3031,Intens_35,Intens_35,1
3032,Intens_36,Intens_36,1
3033,Intens_37,Intens_37,1
3034,Intens_17,Intens_17,1
3035,Intens_18,Intens_18,1
3036,Intens_38,Intens_38,1
3037,Intens_39,Intens_39,1
3038,Intens_19,Intens_19,1
3039,Intens_20,Intens_20,1
3040,Intens_40,Intens_40,1
3055,Mirror_Drum_MSpeed,Mirror_Drum_MSpeed,7
3057,Opacity_3,Opacity_3,5
3058,Opacity_2,Opacity_2,5
3059,Assign_Channel_To_Layer_3,Assign_Channel_To_Layer_3,5
3060,Assign_Channel_To_Layer_2,Assign_Channel_To_Layer_2,5
3061,Timeline_Position_3,Timeline_Position_3,5
3062,Timeline_Position_2,Timeline_Position_2,5
3207,Int&Color_MSpeed,Int&Color_MSpeed,3
3215,Color_MSpeed,Color_MSpeed,3
3216,Int_MSpeed,Int_MSpeed,1
3217,Form_MSpeed,Form_MSpeed,5
3218,Image_MSpeed,Image_MSpeed,4
3219,Int&Form_MSpeed,Int&Form_MSpeed,5
3222,Beam_MSpeed,Beam_MSpeed,5
3227,Color&Beam_MSpeed,Color&Beam_MSpeed,3
3228,Color&Image_MSpeed,Color&Image_MSpeed,3
3229,Int&Color&Image_MSpeed,Int&Color&Image_MSpeed,3
3232,Focus&Form_MSpeed,Focus&Form_MSpeed,2
3386,Color_Macros_4,Color_Macros_4,3
3387,Color_Macros_5,Color_Macros_5,3
3388,Color_Macros_6,Color_Macros_6,3
3389,Color_Macros_7,Color_Macros_7,3
3391,White_2,White_2,3
3392,Gobo_Wheel_Shake_2,Gobo_Wheel_Shake_2,4
3462,_Cue,_Cue,5
3463,Fx1_Level,Fx1_Level,5
3465,Gen_Para_1,Gen_Para_1,5
3473,Negative,Negative,3
3549,Fx1_Para_4,Fx1_Para_4,5
3550,Fx1_Para_5,Fx1_Para_5,5
3551,Fx2_Level,Fx2_Level,5
3552,Fx2_Para_4,Fx2_Para_4,5
3553,Fx2_Para_5,Fx2_Para_5,5
3554,Gen_Para_2,Gen_Para_2,5
3555,Gen_Para_3,Gen_Para_3,5
3556,Gen_Para_4,Gen_Para_4,5
3557,File_Type,File_Type,4
3558,Aspect_Mode,Aspect_Mode,6
3559,Generator,Generator,5
3560,Relay,Relay,4
3561,Timeline,Timeline,5
3562,Intens_1,Intens_1,1
3577,Cyan_Filter,Cyan_Filter,3
3581,Magenta_Filter,Magenta_Filter,3
3586,Yellow_Filter,Yellow_Filter,3
3637,Keystone_X_Ratio,Keystone_X_Ratio,6
3638,Keystone_Y_Ratio,Keystone_Y_Ratio,6
3639,Digital_Iris,Digital_Iris,5
3706,Shutter_Strobe_21,Shutter_Strobe_21,5
3707,Shutter_Strobe_22,Shutter_Strobe_22,5
3708,Shutter_Strobe_23,Shutter_Strobe_23,5
3709,Shutter_Strobe_24,Shutter_Strobe_24,5
3710,Shutter_Strobe_25,Shutter_Strobe_25,5
3711,Shutter_Strobe_26,Shutter_Strobe_26,5
3712,Shutter_Strobe_27,Shutter_Strobe_27,5
3713,Shutter_Strobe_28,Shutter_Strobe_28,5
3714,Shutter_Strobe_29,Shutter_Strobe_29,5
3715,Shutter_Strobe_9,Shutter_Strobe_9,5
3716,Shutter_Strobe_10,Shutter_Strobe_10,5
3717,Shutter_Strobe_30,Shutter_Strobe_30,5
3718,Shutter_Strobe_31,Shutter_Strobe_31,5
3719,Shutter_Strobe_11,Shutter_Strobe_11,5
3720,Shutter_Strobe_12,Shutter_Strobe_12,5
3721,Shutter_Strobe_32,Shutter_Strobe_32,5
3722,Shutter_Strobe_33,Shutter_Strobe_33,5
3723,Shutter_Strobe_13,Shutter_Strobe_13,5
3724,Shutter_Strobe_14,Shutter_Strobe_14,5
3725,Shutter_Strobe_34,Shutter_Strobe_34,5
3726,Shutter_Strobe_35,Shutter_Strobe_35,5
3727,Shutter_Strobe_15,Shutter_Strobe_15,5
3728,Shutter_Strobe_16,Shutter_Strobe_16,5
3729,Shutter_Strobe_36,Shutter_Strobe_36,5
3730,Shutter_Strobe_37,Shutter_Strobe_37,5
3731,Shutter_Strobe_17,Shutter_Strobe_17,5
3732,Shutter_Strobe_18,Shutter_Strobe_18,5
3733,Shutter_Strobe_38,Shutter_Strobe_38,5
3734,Shutter_Strobe_39,Shutter_Strobe_39,5
3735,Digital_Iris_Effect,Digital_Iris_Effect,5
3736,Digital_Iris_Shutter_Strobe,Digital_Iris_Shutter_Strobe,5
3737,Shutter_Strobe_40,Shutter_Strobe_40,5
3745,Transition_Time,Transition_Time,5
3904,Tracking_Object,Tracking_Object,5
3905,Tracking_Mode,Tracking_Mode,5
3906,Dark_Zone,Dark_Zone,5
4058,Shutter_Strobe_19,Shutter_Strobe_19,5
4059,Shutter_Strobe_20,Shutter_Strobe_20,5
4091,UV,UV,3
4159,Fixture_ID,Fixture_ID,7
4228,Color_Mix_MSpeed_2,Color_Mix_MSpeed_2,3
4229,UV_2,UV_2,3
4302,Clip_Select,Clip_Select,5
4331,Mode,Mode,5
4332,Scan_Rate,Scan_Rate,7
4333,Visible_Points,Visible_Points,7
4400,Page,Page,5
4402,White_3,White_3,3
4403,White_4,White_4,3
4404,Intensity_Macros,Intensity_Macros,1
4579,Red_Orange_2,Red_Orange_2,3
4580,Indigo_2,Indigo_2,3
4581,Red_Orange_3,Red_Orange_3,3
4582,Cyan_3,Cyan_3,3
4583,Indigo_3,Indigo_3,3
4584,Red_Orange_4,Red_Orange_4,3
4585,Cyan_4,Cyan_4,3
4586,Indigo_4,Indigo_4,3
4587,Red_Orange_5,Red_Orange_5,3
4588,Cyan_5,Cyan_5,3
4589,Indigo_5,Indigo_5,3
4590,Red_Orange_6,Red_Orange_6,3
4591,Cyan_6,Cyan_6,3
4592,Indigo_6,Indigo_6,3
4756,Locked_Value,Locked_Value,7
4847,Playback_Speed_Mode,Playback_Speed_Mode,4
4848,Playback_Mode,Playback_Mode,4
4849,Crossfade,Crossfade,1
4925,Chase_Level,Chase_Level,5
4935,Fx_Para_5,Fx_Para_5,5
4936,Fx_Para_6,Fx_Para_6,5
4937,Copy_Mode,Copy_Mode,5
4939,Clip_Directory,Clip_Directory,5
4941,Zoom_Mode,Zoom_Mode,5
4952,Cyan_Mode,Cyan_Mode,3
4953,Yellow_Mode,Yellow_Mode,3
4954,Magenta_Mode,Magenta_Mode,3
4956,Min_Intensity,Min_Intensity,1
4957,Max_Intensity,Max_Intensity,1
5155,Scroller_Mode,Scroller_Mode,3
5214,Color_Effect_Parameter,Color_Effect_Parameter,3
5254,Frame,Frame,5
5255,Perspective_Offset_X,Perspective_Offset_X,5
5256,Perspective_Offset_Y,Perspective_Offset_Y,5
5257,Keystone_In,Keystone_In,6
5258,Keystone_Angle,Keystone_Angle,6
5259,Edge_Blend,Edge_Blend,5
5260,Edge_Blend_Profile,Edge_Blend_Profile,5
5261,Keystone_X_Linearity,Keystone_X_Linearity,6
5262,Keystone_Y_Linearity,Keystone_Y_Linearity,6
5351,Keystone_In_4,Keystone_In_4,6
5352,Keystone_Angle_4,Keystone_Angle_4,6
5353,Keystone_In_2,Keystone_In_2,6
5354,Keystone_Angle_2,Keystone_Angle_2,6
5355,Keystone_In_3,Keystone_In_3,6
5356,Keystone_Angle_3,Keystone_Angle_3,6
5357,Object_Directory,Object_Directory,5
5358,Edge_Blend_4,Edge_Blend_4,5
5359,Edge_Blend_Profile_4,Edge_Blend_Profile_4,5
5360,Edge_Blend_2,Edge_Blend_2,5
5361,Edge_Blend_Profile_2,Edge_Blend_Profile_2,5
5362,Edge_Blend_3,Edge_Blend_3,5
5363,Edge_Blend_Profile_3,Edge_Blend_Profile_3,5
5364,Color_Effect_Parameter_2,Color_Effect_Parameter_2,3
5365,Color_Effect_Parameter_3,Color_Effect_Parameter_3,3
5474,Output_Command,Output_Command,5
5567,Frame_In,Frame_In,6
5675,Audio_Volume_2,Audio_Volume_2,5
5676,Audio_Volume_3,Audio_Volume_3,5
5677,Image_Movement_Speed_2,Image_Movement_Speed_2,5
5678,Cue_2,Cue_2,5
5679,Page_2,Page_2,5
5680,Transition_Type_2,Transition_Type_2,5
5681,Transition_Type_3,Transition_Type_3,5
5682,Transition_Type_4,Transition_Type_4,5
5683,Image_Movement_Speed_3,Image_Movement_Speed_3,5
5684,Keystone_Rotate_3,Keystone_Rotate_3,6
5685,Keystone_Rotate_2,Keystone_Rotate_2,6
5686,Keystone_Rotate_4,Keystone_Rotate_4,6
5687,Keystone_Rotate_5,Keystone_Rotate_5,6
5688,Frame_Angle_5,Frame_Angle_5,6
5689,Mask_Size_3,Mask_Size_3,5
5690,Mask_Size_4,Mask_Size_4,5
5691,Mask_Size_5,Mask_Size_5,5
5692,Mask_Size_6,Mask_Size_6,5
5693,Mask_Size_7,Mask_Size_7,5
5694,Mask_2,Mask_2,5
5695,Image_Brightness,Image_Brightness,3
5798,Background_Color,Background_Color,5
5799,Transparency,Transparency,5
5800,Dampening,Dampening,5
5809,Transition,Transition,5
6022,Scroller_Mode_2,Scroller_Mode_2,3
6037,Color_Mix_Macro_Pause,Color_Mix_Macro_Pause,3
6219,Green_3,Green_3,3
6220,Blue_3,Blue_3,3
6221,Red_5,Red_5,3
6222,Green_5,Green_5,3
6223,Blue_5,Blue_5,3
6224,White_5,White_5,3
6225,Red_4,Red_4,3
6226,Red_6,Red_6,3
6227,Green_4,Green_4,3
6228,Green_6,Green_6,3
6229,Blue_4,Blue_4,3
6230,Blue_6,Blue_6,3
6231,White_6,White_6,3
6232,Tilt_5,Tilt_5,2
6233,Tilt_6,Tilt_6,2
6336,_Position,_Position,5
6337,Edge_Blend_Curve,Edge_Blend_Curve,5
6344,Tiling,Tiling,5
6345,Diffusion_Mode,Diffusion_Mode,5
6358,Color_Mix_Macro_Rate,Color_Mix_Macro_Rate,3
6359,Dimmer_Curve,Dimmer_Curve,5
6366,Position_Macro_Position,Position_Macro_Position,2
6492,Line_Type,Line_Type,7
6493,Wave_Rate,Wave_Rate,7
6553,Diffusion_3,Diffusion_3,5
6554,Zoom_3,Zoom_3,5
6555,Iris_Mode_2,Iris_Mode_2,5
6558,Position_Mode,Position_Mode,2
6562,Intensity_Mode_2,Intensity_Mode_2,1
6753,Color_Select_4,Color_Select_4,3
6755,Strobe_Fan,Strobe_Fan,5
6769,Color_Mix_Fan,Color_Mix_Fan,3
6770,Color_Mix_Step,Color_Mix_Step,3
6935,Grouping,Grouping,5
7125,Blower_2,Blower_2,5
7127,Warm_White_2,Warm_White_2,3
7128,Cool_White_2,Cool_White_2,3
7134,Position_Macro_Rate_2,Position_Macro_Rate_2,2
7139,Mode_2,Mode_2,5
7140,X_Rotate_2,X_Rotate_2,6
7147,Color_Mix_9,Color_Mix_9,3
7148,Color_Mix_10,Color_Mix_10,3
7149,Color_Mix_11,Color_Mix_11,3
7150,Color_Mix_12,Color_Mix_12,3
7151,Color_Mix_13,Color_Mix_13,3
7152,Color_Mix_14,Color_Mix_14,3
7153,Color_Mix_15,Color_Mix_15,3
7154,Color_Mix_16,Color_Mix_16,3
7287,Reflector_Adjust,Reflector_Adjust,5
7426,Red_Laser,Red_Laser,3
7428,Green_Laser,Green_Laser,3
7429,Red_7,Red_7,3
7430,Green_7,Green_7,3
7431,Blue_7,Blue_7,3
7511,Chase_Level_2,Chase_Level_2,5
7514,Fx3_Level,Fx3_Level,5
7519,Effect_Library_2,Effect_Library_2,5
7520,Effect_Library_3,Effect_Library_3,5
7521,Fx3_Select,Fx3_Select,5
7616,MediaServer_Level,MediaServer_Level,5
7617,DMX_In_Level,DMX_In_Level,5
7618,RGB_Level,RGB_Level,5
7629,Mask_X_Position,Mask_X_Position,5
7630,Mask_Y_Position,Mask_Y_Position,5
7631,Mask_Rotate,Mask_Rotate,5
7638,Script_Amplitude,Script_Amplitude,5
7639,Script_Rate,Script_Rate,5
7641,Plugin_Rate,Plugin_Rate,5
7642,Cue_Blur,Cue_Blur,5
7643,Wipe_Blur,Wipe_Blur,5
7646,MediaServer_Audio_Level,MediaServer_Audio_Level,5
7647,Input_Audio_Level,Input_Audio_Level,5
7744,Transition_Page,Transition_Page,5
7745,Layer,Layer,4
7746,Media_Server_Input_Group,Media_Server_Input_Group,4
7747,Media_Server_Input_Directory,Media_Server_Input_Directory,4
7748,Media_Server_Input,Media_Server_Input,4
7749,Mask_Page,Mask_Page,5
7950,Color_Effect_4,Color_Effect_4,3
7951,Color_Effect_5,Color_Effect_5,3
7952,Color_Effect_6,Color_Effect_6,3
7953,Color_Effect_7,Color_Effect_7,3
7954,Color_Effect_8,Color_Effect_8,3
7955,Color_Effect_9,Color_Effect_9,3
7956,Color_Effect_10,Color_Effect_10,3
7957,Color_Effect_11,Color_Effect_11,3
7958,Color_Effect_12,Color_Effect_12,3
7959,Color_Effect_13,Color_Effect_13,3
7960,Color_Effect_14,Color_Effect_14,3
7961,Color_Effect_15,Color_Effect_15,3
7962,Color_Effect_16,Color_Effect_16,3
7963,Color_Effect_17,Color_Effect_17,3
7964,Color_Effect_18,Color_Effect_18,3
7965,Color_Effect_19,Color_Effect_19,3
7966,Color_Effect_20,Color_Effect_20,3
7967,Layer_Effect_5,Layer_Effect_5,5
7968,Layer_Effect_6,Layer_Effect_6,5
7969,Layer_Effect_7,Layer_Effect_7,5
7970,Layer_Effect_8,Layer_Effect_8,5
7971,Layer_Effect_9,Layer_Effect_9,5
7972,Layer_Effect_10,Layer_Effect_10,5
7973,Layer_Effect_11,Layer_Effect_11,5
7974,Layer_Effect_12,Layer_Effect_12,5
7975,Layer_Effect_13,Layer_Effect_13,5
7976,Layer_Effect_14,Layer_Effect_14,5
7977,Layer_Effect_15,Layer_Effect_15,5
7978,Layer_Effect_16,Layer_Effect_16,5
7979,Layer_Effect_17,Layer_Effect_17,5
7980,Layer_Effect_18,Layer_Effect_18,5
7981,Layer_Effect_19,Layer_Effect_19,5
7982,Layer_Effect_20,Layer_Effect_20,5
7983,Mixer_Mode_2,Mixer_Mode_2,4
7984,Mixer_Mode_3,Mixer_Mode_3,4
7985,Mixer_Mode_4,Mixer_Mode_4,4
7986,Mixer_Mode_5,Mixer_Mode_5,4
7987,Mixer_Mode_6,Mixer_Mode_6,4
7988,Mixer_Mode_7,Mixer_Mode_7,4
7989,Mixer_Mode_8,Mixer_Mode_8,4
7990,Mixer_Mode_9,Mixer_Mode_9,4
7991,Mixer_Mode_10,Mixer_Mode_10,4
7992,Mixer_Mode_11,Mixer_Mode_11,4
7993,Mixer_Mode_12,Mixer_Mode_12,4
7994,Mixer_Mode_13,Mixer_Mode_13,4
7995,Mixer_Mode_14,Mixer_Mode_14,4
7996,Mixer_Mode_15,Mixer_Mode_15,4
7997,Mixer_Mode_16,Mixer_Mode_16,4
7998,Mixer_Mode_17,Mixer_Mode_17,4
7999,Mixer_Mode_18,Mixer_Mode_18,4
8000,Mixer_Mode_19,Mixer_Mode_19,4
8001,Mixer_Mode_20,Mixer_Mode_20,4
8002,Mixer_Mode_21,Mixer_Mode_21,4
8003,Mixer_Mode_22,Mixer_Mode_22,4
8004,Mixer_Mode_23,Mixer_Mode_23,4
8005,Mixer_Mode_24,Mixer_Mode_24,4
8006,Mixer_Mode_25,Mixer_Mode_25,4
8007,Mixer_Mode_26,Mixer_Mode_26,4
8008,Mixer_Mode_27,Mixer_Mode_27,4
8009,Mixer_Mode_28,Mixer_Mode_28,4
8010,Mixer_Mode_29,Mixer_Mode_29,4
8011,Mixer_Mode_30,Mixer_Mode_30,4
8012,Mixer_Mode_31,Mixer_Mode_31,4
8013,Mixer_Mode_32,Mixer_Mode_32,4
8157,Audio_Sensitivity,Audio_Sensitivity,7
8198,CIE_X,CIE_X,3
8199,CIE_Y,CIE_Y,3
8280,Fixture_Display,Fixture_Display,7
8360,Color_Mode,Color_Mode,3
8561,Edge_2,Edge_2,5
8562,Edge_3,Edge_3,5
8756,Water_Jet,Water_Jet,5
8763,Amber_2,Amber_2,3
8765,Fixture_Global_Reset_2,Fixture_Global_Reset_2,7
8860,Gamma,Gamma,3
8861,Image_Saturation,Image_Saturation,3
8864,Color_Effect_Level,Color_Effect_Level,3
8872,Red_Contrast,Red_Contrast,3
8873,Green_Contrast,Green_Contrast,3
8874,Blue_Contrast,Blue_Contrast,3
8875,Mask_Aspect_Ratio,Mask_Aspect_Ratio,5
8876,Mask_Blur,Mask_Blur,5
8886,Texture_Directory,Texture_Directory,4
8887,Sync_Offset,Sync_Offset,5
8896,Lamp_Rotate,Lamp_Rotate,7
8976,Proj_Mode,Proj_Mode,5
8977,Warp,Warp,5
8981,Warp_2,Warp_2,5
8992,Fx1_Para_6,Fx1_Para_6,5
8993,Fx1_Para_7,Fx1_Para_7,5
8994,Fx2_Para_6,Fx2_Para_6,5
8995,Fx2_Para_7,Fx2_Para_7,5
8998,Gobo_Wheel_Select_MSpeed_2,Gobo_Wheel_Select_MSpeed_2,4
9200,Color_Mix_Macro_Rate_2,Color_Mix_Macro_Rate_2,3
9201,Obj_Effect_File_1,Obj_Effect_File_1,5
9202,Obj_Fx1_Para_1,Obj_Fx1_Para_1,5
9203,Obj_Fx1_Para_2,Obj_Fx1_Para_2,5
9204,Obj_Effect_File_2,Obj_Effect_File_2,5
9205,Obj_Fx2_Para_1,Obj_Fx2_Para_1,5
9206,Obj_Fx2_Para_2,Obj_Fx2_Para_2,5
9275,Gobo_Wheels,Gobo_Wheels,4
9416,Gobo_Wheels_Mode,Gobo_Wheels_Mode,4
9419,Pan_Offset_Amplitude,Pan_Offset_Amplitude,2
9420,Tilt_Offset_Amplitude,Tilt_Offset_Amplitude,2
9619,Pan_Offset,Pan_Offset,2
9620,Tilt_Offset,Tilt_Offset,2
9621,Pan_Offset_2,Pan_Offset_2,2
9710,Effect_Macro_Rate,Effect_Macro_Rate,4
9736,Proj_Shutter,Proj_Shutter,5
9829,UV_3,UV_3,3
9830,Cal_White_Temp,Cal_White_Temp,3
9930,Cyan_Adjust,Cyan_Adjust,3
9931,Magenta_Adjust,Magenta_Adjust,3
9932,Yellow_Adjust,Yellow_Adjust,3
9933,Red_Orange_Adjust,Red_Orange_Adjust,3
9934,Amber_Adjust,Amber_Adjust,3
9935,Indigo_Adjust,Indigo_Adjust,3
10024,Frame_Macro_Size,Frame_Macro_Size,6
10025,Frame_Macro_Time,Frame_Macro_Time,6
10148,Position_Limits,Position_Limits,7
10149,Frame_Macros,Frame_Macros,6
10351,Pan_4,Pan_4,2
10352,Pan_5,Pan_5,2
10353,Pan_3,Pan_3,2
10354,Pan_6,Pan_6,2
10558,Gobo_Offset_Amplitude_2,Gobo_Offset_Amplitude_2,4
10559,X,X,3
10560,Y,Y,3
10561,Chromaticity,Chromaticity,3
10562,Tint,Tint,3
10671,Framing_X,Framing_X,5
10672,Framing_Y,Framing_Y,5
10676,Fx3_Para_1,Fx3_Para_1,5
10677,Fx4_Para_1,Fx4_Para_1,5
10678,Fx5_Para_1,Fx5_Para_1,5
10777,Fx3_Para_2,Fx3_Para_2,5
10778,Fx3_Para_3,Fx3_Para_3,5
10779,Fx4_Para_2,Fx4_Para_2,5
10780,Fx4_Para_3,Fx4_Para_3,5
10781,Fx5_Para_2,Fx5_Para_2,5
10782,Fx5_Para_3,Fx5_Para_3,5
10783,Framing_X_2,Framing_X_2,5
10784,Framing_Y_2,Framing_Y_2,5
10785,Framing_X_3,Framing_X_3,5
10786,Framing_Y_3,Framing_Y_3,5
10787,Framing_X_4,Framing_X_4,5
10788,Framing_Y_4,Framing_Y_4,5
10789,Fx4_Select,Fx4_Select,5
10790,Fx5_Select,Fx5_Select,5
10997,Strobe_Duration_2,Strobe_Duration_2,5
11044,Color_Preset_Save,Color_Preset_Save,3
11099,Video_Map_Enable,Video_Map_Enable,5
11112,Controller,Controller,5
11210,Video_Map,Video_Map,5
11211,Controller_2,Controller_2,5
11212,Controller_3,Controller_3,5
11213,Controller_4,Controller_4,5
11214,Controller_5,Controller_5,5
11215,Controller_6,Controller_6,5
11216,Controller_7,Controller_7,5
11217,Controller_8,Controller_8,5
11218,Controller_9,Controller_9,5
11219,Controller_10,Controller_10,5
11220,Controller_11,Controller_11,5
11221,Controller_12,Controller_12,5
11222,Controller_13,Controller_13,5
11223,Controller_14,Controller_14,5
11224,Controller_15,Controller_15,5
11225,Controller_16,Controller_16,5
11226,Controller_17,Controller_17,5
11227,Controller_18,Controller_18,5
11228,Controller_19,Controller_19,5
11229,Controller_20,Controller_20,5
11425,Snow,Snow,5
11430,Mirror_Ball,Mirror_Ball,5
11446,Color_Wheel_Mode_4,Color_Wheel_Mode_4,3
11448,Int&Color&Beam_MSpeed,Int&Color&Beam_MSpeed,1
11449,Mirror_Drum_2,Mirror_Drum_2,5
11660,Viewpoint_Mode_2,Viewpoint_Mode_2,5
11661,Main_Intensity,Main_Intensity,1
11876,Effect_Macros_2,Effect_Macros_2,4
11886,Color_Mix_Position,Color_Mix_Position,3
11916,Green_Cyan,Green_Cyan,3
11921,Color_Wheel_Select_Blink,Color_Wheel_Select_Blink,3
11978,Green_Cyan_Adjust,Green_Cyan_Adjust,3
11979,White_Adjust,White_Adjust,3
11980,Cool_White_Adjust,Cool_White_Adjust,3
11981,Warm_White_Adjust,Warm_White_Adjust,3
12080,Flame,Flame,5
12081,Effect_Head,Effect_Head,2
12088,Connected_Load_2,Connected_Load_2,5
12089,Connected_Load_3,Connected_Load_3,5
12090,Connected_Load_4,Connected_Load_4,5
12091,Connected_Load_5,Connected_Load_5,5
12092,Connected_Load_6,Connected_Load_6,5
12098,Clip_Select_2,Clip_Select_2,5
12099,Clip_Select_3,Clip_Select_3,5
12100,Color_Mix_Position_2,Color_Mix_Position_2,3
12101,Scale_2,Scale_2,6
12102,Y_Rotate_2,Y_Rotate_2,6
12103,Clip_Directory_2,Clip_Directory_2,5
12113,Color_Mix_Position_3,Color_Mix_Position_3,3
12114,Color_Mix_Position_4,Color_Mix_Position_4,3
12115,Main_Shutter_Strobe,Main_Shutter_Strobe,5
12117,Flame_2,Flame_2,5
12118,Flame_3,Flame_3,5
12119,Flame_4,Flame_4,5
12120,Flame_5,Flame_5,5
12319,Color_Wheel_Select_Blink_2,Color_Wheel_Select_Blink_2,3
12320,Vertical,Vertical,5
12321,Arch,Arch,5
12322,Pump,Pump,5
12323,Pump_2,Pump_2,5
12324,Pump_3,Pump_3,5
12424,Image_Adjust_Red,Image_Adjust_Red,3
12425,Image_Adjust_Green,Image_Adjust_Green,3
12426,Image_Adjust_Blue,Image_Adjust_Blue,3
12427,Image_Adjust_Cyan,Image_Adjust_Cyan,3
